"てき",敵,"Enemy",kanji
"さい",済,"Come To An End",kanji
"い",委,"Committee",kanji
"きょ",挙,"Raise",kanji
"はん",判,"Judge",kanji
"せい",制,"Control",kanji
"む",務,"Task",kanji
"さ",査,"Inspect",kanji
"そう",総,"Whole",kanji
"せつ",設,"Establish",kanji
"し",資,"Resources",kanji
"けん",権,"Rights",kanji
"けん",件,"Matter",kanji
"は",派,"Sect",kanji
"おか",岡,"Hill",kanji
"そ",素,"Element",kanji
"だん",断,"Cut Off",kanji
"ひょう",評,"Evaluate",kanji
"ひ",批,"Criticism",kanji
"にん",任,"Duty",kanji
"けん",検,"Examine",kanji
"しん",審,"Judge",kanji
"じょう",条,"Clause",kanji
"せき",責,"Blame",kanji
"しょう",省,"Conserve",kanji
"ぞう",増,"Increase",kanji
"ぜい",税,"Tax",kanji
"かい",解,"Untie",kanji
"さい",際,"Occasion",kanji
"にん",認,"Recognize",kanji
"き",企,"Plan",kanji
"ぎ",義,"Righteousness",kanji
"ばつ",罰,"Penalty",kanji
"たん",誕,"Birth",kanji
"だつ",脱,"Undress",kanji
"か",過,"Surpass",kanji
"ぼう",坊,"Monk",kanji
"ね",寝,"Lie Down",kanji
"みや",宮,"Shinto Shrine",kanji
"かく",各,"Each",kanji
"あん",案,"Plan",kanji
"ち",置,"Put",kanji
"ひ",費,"Expense",kanji
"か",価,"Value",kanji
"せい",勢,"Force",kanji
"えい",営,"Manage",kanji
"じ",示,"Indicate",kanji
"とう",統,"Unite",kanji
"りょう",領,"Territory",kanji
"さく",策,"Plan",kanji
"ふじ",藤,"Wisteria",kanji
"ふく",副,"Vice",kanji
"かん",観,"View",kanji
"ち",値,"Value",kanji
"きゅう",吸,"Suck",kanji
"いき",域,"Region",kanji
"し",姿,"Figure",kanji
"おう",応,"Respond",kanji
"てい",提,"Present",kanji
"えん",援,"Aid",kanji
"じょう",状,"Condition",kanji
"たい",態,"Appearance",kanji
"が",賀,"Congratulations",kanji
"しゅう",収,"Obtain",kanji
"てい",停,"Halt",kanji
"かく",革,"Leather",kanji
"しょく",職,"Employment",kanji
"き",鬼,"Demon",kanji
"き",規,"Standard",kanji
"ご",護,"Defend",kanji
"わり",割,"Divide",kanji
"さい",裁,"Judge",kanji
"さき",崎,"Cape",kanji
"えん",演,"Perform",kanji
"りつ",律,"Law",kanji
"し",師,"Teacher",kanji
"かん",看,"Watch Over",kanji
"じゅん",準,"Standard",kanji
"そく",則,"Rule",kanji
"び",備,"Provide",kanji
"どう",導,"Lead",kanji
"かん",幹,"Tree Trunk",kanji
"ちょう",張,"Stretch",kanji
"ゆう",優,"Superior",kanji
"たく",宅,"House",kanji
"たく",沢,"Swamp",kanji
"ぜい",贅,"Luxury",kanji
"し",施,"Carry Out",kanji
"げん",現,"Present Time",kanji
"にゅう",乳,"Milk",kanji
"よ",呼,"Call",kanji
"しろ",城,"Castle",kanji
"はい",俳,"Haiku",kanji
"しゅう",秀,"Excel",kanji
"たん",担,"Carry",kanji
"がく",額,"Amount",kanji
"せい",製,"Manufacture",kanji
"ちが",違,"Different",kanji
"ゆ",輸,"Transport",kanji
"ねん",燃,"Burn",kanji
"しゅく",祝,"Celebrate",kanji
"とど",届,"Deliver",kanji
"せま",狭,"Narrow",kanji
"かた",肩,"Shoulder",kanji
"うで",腕,"Arm",kanji
"こし",腰,"Waist",kanji
"しょく",触,"Touch",kanji
"さい",載,"Publish",kanji
"そう",層,"Layer",kanji
"けい",型,"Model",kanji
"ちょう",庁,"Agency",kanji
"し",視,"Look At",kanji
